연번,호선,station_name,층수,형식,지반고,레일면고,선로기준정거장깊이,정거장깊이,비고,위도,경도,station_depth,underground_floors,is_island_platform,is_side_platform,is_transfer_station,line_1to4,line_5to8,risk_area_count_500m,risk_area_count_1km,nearest_risk_distance,risk_weighted_score_500m,construction_count_500m,ongoing_construction_500m,total_construction_amount_500m,avg_construction_amount_500m,subway_related_construction_500m,large_construction_500m,construction_density_500m,water_building_count_500m,total_water_output_500m,total_waste_output_500m,avg_water_output_500m,large_water_buildings_500m,max_water_output_500m,water_building_density_500m,road_construction_count_500m,ongoing_road_construction_500m,subway_related_road_500m,communication_infra_500m,water_sewer_construction_500m,major_road_construction_500m,avg_construction_duration_500m,long_term_construction_500m,road_construction_density_500m,comprehensive_risk_score,underground_activity_density,ground_disturbance_index,infrastructure_density,risk_level,underground_risk_score_norm,subway_risk_score_norm,construction_risk_score_norm,water_output_risk_score_norm,station_risk_score
35,2,방배,B2,상대식,126.43,113.68,12.75,11.65,,37.481469,126.997627,12.75,1.0,0,1,0,1,0,0.0,0,6160.093650436063,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0854922279792746,0.015999986643423,670.83,20.32818181818181,0,70.27,42.01690497626037,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,80.084166,566,472.5,267,Low,0.0,0.0111111111111111,0.0,0.0338307382075658,0.0782584077439502
36,2,사당,B2,상대식,118.59,104.77,13.82,12.72,4호선환승,37.476536,126.981631,13.820000000000007,1.0,0,1,1,1,0,0.0,0,7072.0305615301895,0.0,2,0.1818181818181818,27.7,13.85,0.0,0.0,2.546479089470325,0.0958549222797927,0.2175409540078197,9121.15,246.50864864864863,24,643.22,47.10986315520102,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,82.274164,572,472.5,267,Medium,0.0,0.0444444444444444,0.0363636363636363,0.1044652920958708,0.2719411925400755
37,2,낙성대,B2,상대식,148.33,134.96,13.37,12.27,,37.47693,126.963783,13.370000000000005,1.0,0,1,0,1,0,0.0,0,5687.134329045818,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,79.95,533,472.5,267,Low,0.0,0.0111111111111111,0.0,0.0,0.0040614478114478
38,2,서울대입구,B2,섬식,134.32,120.91,13.41,12.31,,37.481233,126.952745,13.409999999999997,1.0,1,0,0,1,0,0.0,0,5173.214658851543,0.0,4,0.2727272727272727,0.0,0.0,0.0,0.0,5.092958178940651,0.4093264248704663,0.1710908340252119,6376.11,45.40069620253165,6,4521.0,201.17184806815573,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,82.134662,694,472.5,267,Medium,0.0,0.0444444444444444,0.0545454545454545,0.1934724196318927,0.4804420173599527
39,2,봉천,B2,섬식,127.09,114.04,13.05,11.95,,37.482416,126.941896,13.049999999999995,1.0,1,0,0,1,0,0.0,0,4591.9731390539,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595854922279792,0.0027264112714244,114.33,4.97,0,11.9,29.284509528908742,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,79.972862,556,472.5,267,Low,0.0,0.0444444444444444,0.0,0.0207706344998012,0.0617995691828553
40,2,신림,B2,섬식,122.46,109.57,12.89,11.79,신림선환승,37.484216,126.929573,12.89,1.0,1,0,1,1,0,0.0,0,3944.448228298302,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.233160621761658,0.0356873425682932,1466.34,16.62511111111111,1,162.0,114.59155902616465,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,80.249252,623,472.5,267,Low,0.0,0.1,0.0,0.0896159881099837,0.2330971860442447
41,2,신대방,고가,상대식,108.97,126.25,-17.28,-18.38,,37.487534,126.913279,-17.28,1.0,0,1,0,1,0,0.0,0,2658.6596877164225,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,79.95,533,472.5,267,Low,0.0,0.0111111111111111,0.0,0.0,0.0040614478114478
42,2,구로디지털단지,고가,상대식,110.64,126.26,-15.62,-16.72,,37.485005,126.902626,-15.620000000000005,1.0,0,1,0,1,0,0.0,0,1793.0602520370871,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.266839378238342,0.2815153799791112,9030.01,114.59291262135922,44,542.53,131.14367310772175,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,82.310614,636,472.5,267,Medium,0.0,0.0111111111111111,0.0,0.1827849194058177,0.4049420096901163
43,2,대림,고가,상대식,108.8,126.25,-17.45,-18.55,7호선환승,37.492426,126.895293,-17.450000000000003,1.0,0,1,1,1,0,0.0,1,979.9843078315708,0.0,3,0.1818181818181818,0.0,0.0,0.0,0.0,3.819718634205488,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,80.45,535,472.5,267,Low,0.0,0.0444444444444444,0.0363636363636363,0.0,0.0428298132843587
44,2,신도림,B2,섬식,111.52,99.58,11.94,10.84,2호선(지선).국철환승,37.508815,126.891222,11.939999999999998,1.0,1,0,1,1,0,0.0,0,1686.0198736880134,0.0,3,0.2727272727272727,0.0,0.0,0.0,0.0,3.819718634205488,0.1191709844559585,0.0829255005913862,3476.71,75.58282608695652,10,182.72,58.569019057817485,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,81.395362,582,472.5,267,Low,0.0,0.1,0.0545454545454545,0.0673654950157816,0.2241738422023117
